ice,rain,wind,dry,snow,cold,danger
0,0.00,21.92,1,0,64.90,1
0,0.00,17.00,1,0,68.00,1
0,0.00,17.00,1,0,57.90,1
0,0.00,17.00,1,0,66.00,1
0,0.00,14.09,1,0,78.10,1
0,0.00,19.91,1,0,82.00,1
0,0.23,23.04,0,0,71.10,1
0,0.00,12.08,0,0,80.10,0
0,0.00,19.91,1,0,87.10,1
0,0.00,14.99,1,0,73.00,1
0,0.00,16.11,1,0,73.90,1
0,0.43,25.05,0,0,82.90,1
0,0.00,16.11,0,0,78.10,0
0,0.00,10.07,1,0,79.00,1
0,0.14,21.92,0,0,91.00,1
0,0.00,17.00,0,0,96.10,0
0,0.00,16.11,1,0,100.00,1
0,0.01,17.90,0,0,96.10,0
0,1.18,23.04,0,0,88.00,1
0,0.93,23.04,0,0,87.10,1
0,0.00,17.90,0,0,96.10,0
0,0.82,25.05,0,0,95.00,1
0,0.00,17.00,0,0,87.10,0
0,0.97,23.04,0,0,90.00,1
0,0.00,14.09,0,0,91.00,0
0,0.00,14.99,1,0,89.10,1
0,0.76,19.91,0,0,90.00,0
0,0.00,14.09,0,0,91.90,0
0,0.00,17.00,1,0,93.00,1
0,0.11,14.09,0,0,73.90,0
0,0.00,14.99,0,0,84.90,0
0,0.00,17.00,1,0,88.00,1
0,0.00,10.07,1,0,89.10,1
0,0.00,10.07,1,0,90.00,1
0,0.00,14.09,1,0,91.00,1
0,0.00,14.09,1,0,86.00,1
0,0.00,10.07,1,0,73.90,1
0,0.00,23.04,1,0,70.00,1
0,0.96,21.92,0,0,81.00,1
0,0.02,16.11,0,0,73.00,0
0,0.00,14.99,0,0,71.10,0
0,0.00,10.07,1,0,84.90,1
0,0.00,12.08,1,0,84.90,1
0,0.00,10.07,1,0,66.90,1
0,0.00,12.08,1,0,70.00,1
0,0.00,14.99,1,0,68.00,1
0,0.00,14.99,1,0,80.10,1
0,0.00,12.08,1,0,61.00,1
0,0.62,29.97,0,0,75.90,1
0,0.00,12.97,0,0,46.00,0
0,0.19,16.11,0,0,55.00,0
0,0.07,17.90,0,0,70.00,0
0,0.00,14.09,0,0,57.90,0
0,0.00,31.99,1,0,71.10,1
0,0.00,14.99,1,0,44.10,1
0,0.90,16.11,0,0,57.00,0
0,0.00,14.09,0,0,36.00,0
0,0.19,19.91,0,2.01,35.10,1
0,0.00,10.07,0,0,46.90,0
0,0.00,17.00,1,0,55.00,1
0,0.00,14.09,1,0,66.00,1
0,0.00,14.09,1,0,54.00,1
0,0.00,16.11,1,0,46.00,1
0,0.72,21.03,0,0,57.90,1
0,1.38,23.04,0,0,37.90,1
0,0.00,14.09,0,0,50.00,0
0,0.73,14.09,0,0,44.10,0
0,0.00,14.99,0,0,62.10,0
0,0.01,12.97,0,0,48.90,0
0,0.62,14.09,0,0,68.00,0
0,0.00,23.04,0,0,82.90,1
0,0.00,21.92,1,0,51.10,1
0,0.12,14.99,0,0,73.00,0
0,0.00,21.03,0,0,73.00,1
0,0.36,23.94,0,0,79.00,1
0,0.07,17.00,0,0,68.00,0
0,0.00,14.09,0,0,75.90,0
0,0.00,16.11,1,0,82.00,1
0,0.00,14.99,1,0,84.90,1
0,0.69,17.00,0,0,82.00,0
0,0.00,16.11,0,0,96.10,0
0,0.00,14.99,1,0,93.90,1
0,0.00,19.91,1,0,95.00,1
0,0.12,12.08,0,0,82.90,0
0,0.00,14.09,0,0,87.10,0
0,0.00,8.05,1,0,84.00,1
0,0.00,14.99,1,0,93.00,1
0,0.28,31.09,0,0,91.90,1
0,0.06,23.94,0,0,95.00,1
0,0.27,16.11,0,0,82.90,0
0,0.18,17.90,0,0,96.10,0
0,0.00,14.09,0,0,88.00,0
0,0.00,23.04,1,0,99.00,1
0,0.03,12.08,0,0,84.00,0
0,0.00,12.97,0,0,87.10,0
0,0.00,12.08,1,0,93.90,1
0,0.00,19.91,1,0,87.10,1
0,0.57,17.90,0,0,79.00,0
0,0.00,17.00,0,0,80.10,0
0,0.00,12.97,1,0,82.00,1
0,0.00,12.08,1,0,87.10,1
0,0.00,10.07,1,0,77.00,1
0,0.00,14.99,1,0,81.00,1
0,0.32,14.09,0,0,68.00,0
0,0.00,17.00,0,0,93.00,0
0,0.00,23.94,1,0,102.90,1
0,0.00,17.90,1,0,100.00,1
0,0.23,17.00,0,0,96.10,0
0,0.45,21.92,0,0,80.10,1
0,1.09,19.91,0,0,93.00,0
0,0.00,12.08,0,0,90.00,0
0,0.14,19.91,0,0,99.00,0
0,0.00,8.95,0,0,91.90,0
0,0.05,23.94,0,0,93.00,1
0,0.49,21.92,0,0,93.00,1
0,0.13,21.92,0,0,87.10,1
0,0.00,16.11,0,0,91.00,0
0,0.02,12.97,0,0,77.00,0
0,0.00,10.07,0,0,84.00,0
0,0.00,17.00,1,0,87.10,1
0,0.00,12.97,1,0,89.10,1
0,1.85,17.00,0,0,88.00,0
0,0.00,8.95,0,0,80.10,0
0,0.00,12.08,1,0,77.00,1
0,0.12,12.97,0,0,88.00,0
0,0.23,17.00,0,0,64.90,0
0,0.00,14.99,0,0,78.10,0
0,0.00,8.95,1,0,70.00,1
0,0.00,8.05,1,0,80.10,1
0,0.00,21.03,1,0,66.00,1
0,0.00,16.11,1,0,57.90,1
0,0.00,14.99,1,0,64.90,1
0,0.00,19.91,1,0,55.90,1
0,0.00,16.11,1,0,59.00,1
0,0.00,12.97,1,0,63.00,1
0,0.00,16.11,1,0,69.10,1
0,0.00,6.93,1,0,57.90,1
0,0.09,16.11,0,0,57.90,0
0,0.00,25.05,0,0,57.90,1
0,0.00,17.00,1,0,53.10,1
0,0.00,6.93,1,0,45.00,1
0,0.37,17.00,0,0,52.00,0
0,0.00,21.92,0,0,53.10,1
0,0.01,17.00,0,0,60.10,0
0,0.00,17.90,0,0,59.00,0
0,0.03,12.08,0,0,53.10,0
0,0.05,21.03,0,0,63.00,1
0,0.39,12.97,0,0,46.90,0
0,0.92,10.07,0,0,44.10,0
0,0.00,16.11,0,0,42.10,0
0,0.00,12.97,1,0,62.10,1
0,0.00,19.91,1,0,62.10,1
0,0.00,16.11,1,0,55.00,1
0,0.00,21.92,1,0,48.00,1
0,0.00,12.97,1,0,50.00,1
0,0.00,12.97,1,0,66.00,1
0,0.04,12.08,0,0,63.00,0
0,0.00,19.91,0,0,82.90,0
0,0.00,14.99,1,0,80.10,1
0,0.01,21.92,0,0,64.00,1
0,0.00,21.03,0,0,61.00,1
0,0.00,17.00,1,0,64.90,1
0,0.00,19.91,1,0,64.00,1
0,0.00,21.03,1,0,60.10,1
0,0.00,21.03,1,0,84.00,1
0,0.30,23.04,0,0,81.00,1
0,0.00,12.97,0,0,86.00,0
0,0.00,14.99,1,0,73.00,1
0,0.00,14.09,1,0,82.00,1
0,0.00,16.11,1,0,86.00,1
0,0.00,14.09,1,0,80.10,1
0,0.00,12.97,1,0,80.10,1
0,0.00,12.08,1,0,93.90,1
0,0.00,16.11,1,0,89.10,1
0,0.77,14.99,0,0,89.10,0
0,0.00,12.97,0,0,82.00,0
0,0.66,19.91,0,0,91.90,0
0,0.08,21.03,0,0,90.00,1
0,0.05,12.97,0,0,81.00,0
0,0.00,14.99,0,0,87.10,0
0,0.30,21.92,0,0,89.10,1
